,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
CSRP2,-0.00920279,-0.009863678,-0.018602971,6.619832,-0.023323027,4.332364,-0.007997939,4.5470114,-0.009946426,-0.01121779,4.776161,-0.00876658,-0.0055308817,1.9335784,-0.0035756805,5.1302814
TEAD4,-0.009061939,-0.009914702,-0.018575933,6.5783286,-0.023011917,4.306865,-0.007993272,4.5200534,-0.009806549,-0.011169374,4.754645,-0.008662886,-0.005469977,1.9195994,-0.0035157022,5.095086
SNORA68,-0.009363845,0.34783497,-0.009241015,5.011641,-0.025183491,3.6627138,0.5793063,2.9000156,-0.013275113,-0.007727758,3.3393006,-0.0045118607,-0.007840452,2.0828476,-0.0044922894,3.8590202
CELF3,-0.009363845,0.34783497,-0.009241015,5.011641,-0.025183491,3.6627138,0.5793063,2.9000156,-0.013275113,-0.007727758,3.3393006,-0.0045118607,-0.007840452,2.0828476,-0.0044922894,3.8590202
SMARCD1,-0.010329796,-0.010042257,-0.018811591,6.9124055,-0.025334546,4.48033,-0.008369643,4.7545967,-0.00978516,-0.0113228345,4.9635453,-0.009383599,-0.004810384,2.05903,-0.0037106888,5.3701224
CTSZ,-0.010156991,-0.010330269,-0.019151395,6.8861065,-0.02490353,4.475276,-0.008879963,4.747161,-0.009711576,-0.011449468,4.9691057,-0.009345798,-0.0049143992,2.0239265,-0.0036682847,5.3769755
RNF19A,-0.010215016,-0.01001857,-0.01877951,6.900023,-0.025312213,4.4488163,-0.008271588,4.7688947,-0.00998003,-0.011278116,4.9644394,-0.009434662,-0.004797218,2.028078,-0.0035584075,5.3560524
HEXIM1,-0.010359931,-0.009517302,-0.01821221,6.807693,-0.025310151,4.399575,-0.007549337,4.6792827,-0.009749518,-0.010956569,4.878033,-0.009201971,-0.004658407,2.0553823,-0.0035967326,5.2756443
MSANTD3,-0.009363845,0.34783497,-0.009241015,5.011641,-0.025183491,3.6627138,0.5793063,2.9000156,-0.013275113,-0.007727758,3.3393006,-0.0045118607,-0.007840452,2.0828476,-0.0044922894,3.8590202
HIST1H2AI,-0.009483811,-0.010090836,-0.018723555,6.7041655,-0.02381292,4.3710337,-0.008261395,4.6171603,-0.0098519735,-0.011329107,4.830678,-0.008898652,-0.005112769,1.9540343,-0.003573753,5.1858253
